2021-12-30 00:05:20.551588, Sended data
2021-12-30 00:05:20.625605, Sended data
2021-12-30 00:05:20.738629, Sended data
2021-12-30 00:05:30.748717, Sended data
2021-12-30 00:05:30.982770, Sended data
2021-12-30 00:06:17.300946, Sended data
2021-12-30 00:06:17.367961, Sended data
2021-12-30 00:06:17.428978, Sended data
2021-12-30 00:06:27.439290, Sended data
2021-12-30 00:06:27.609073, Sended data
2021-12-30 00:06:33.599062, Sended data
2021-12-30 00:06:36.944212, Sended data
2021-12-30 00:06:37.025230, Sended data
2021-12-30 00:06:37.090243, Sended data
2021-12-30 00:06:37.278285, Sended data
2021-12-30 00:07:22.917538, Sended data
2021-12-30 00:07:33.698176, Sended data
2021-12-30 00:07:33.765189, Sended data
2021-12-30 00:07:33.826204, Sended data
2021-12-30 00:07:43.879521, Sended data
2021-12-30 00:07:44.082570, Sended data
2022-01-02 21:24:54.683785, Sended data
2022-01-02 21:24:54.807812, Sended data
2022-01-02 21:24:55.008853, Sended data
2022-01-02 21:25:04.826968, Sended data
2022-01-02 21:25:05.016009, Sended data
2022-01-02 21:26:05.765104, Sended data
2022-01-02 21:26:06.395236, Sended data
2022-01-02 21:26:06.963360, Sended data
2022-01-02 21:26:07.626501, Sended data
2022-01-02 21:26:08.196624, Sended data
2022-01-02 21:26:08.862768, Sended data
2022-01-02 21:26:09.413886, Sended data
2022-01-02 21:26:10.064025, Sended data
2022-01-02 21:26:10.713167, Sended data
2022-01-02 21:26:11.282290, Sended data
2022-01-02 21:26:11.942431, Sended data
2022-01-02 21:26:12.525557, Sended data
2022-01-02 21:26:13.159693, Sended data
2022-01-02 21:26:13.741818, Sended data
2022-01-02 21:26:14.294942, Sended data
2022-01-02 21:26:15.005090, Sended data
2022-01-02 21:26:15.694240, Sended data
2022-01-02 21:27:16.283298, Sended data
2022-01-02 21:27:16.852417, Sended data
2022-01-02 21:29:17.468394, Sended data
2022-01-02 21:30:18.168826, Sended data
2022-01-02 21:30:18.697940, Sended data
2022-01-02 21:30:19.345082, Sended data
2022-01-02 21:30:19.974216, Sended data
2022-01-02 21:30:20.622355, Sended data
2022-01-02 21:30:21.209482, Sended data
2022-01-02 21:30:21.789608, Sended data
2022-01-02 21:30:22.419743, Sended data
2022-01-02 21:30:23.031874, Sended data
2022-01-02 21:30:23.676013, Sended data
2022-01-02 21:30:24.318152, Sended data
2022-01-02 21:30:24.866270, Sended data
2022-01-02 21:30:25.428392, Sended data
2022-01-02 21:30:26.054528, Sended data
2022-01-02 21:30:26.682660, Sended data
2022-01-02 21:30:27.310799, Sended data
2022-01-02 21:30:27.890922, Sended data
2022-01-02 21:32:28.447900, Sended data
2022-01-02 21:33:29.037955, Sended data
2022-01-02 21:33:29.683095, Sended data
2022-01-02 21:33:30.328234, Sended data
2022-01-02 21:33:30.924362, Sended data
2022-01-02 21:33:31.505487, Sended data
2022-01-02 21:33:32.117619, Sended data
2022-01-02 21:33:32.702747, Sended data
2022-01-02 21:33:33.282872, Sended data
2022-01-02 21:33:33.943013, Sended data
2022-01-02 21:33:34.558147, Sended data
2022-01-02 21:33:35.186283, Sended data
2022-01-02 21:33:35.774409, Sended data
2022-01-02 21:33:36.421549, Sended data
2022-01-02 21:33:37.113696, Sended data
2022-01-02 21:33:37.854855, Sended data
2022-01-02 21:33:38.518000, Sended data
2022-01-02 21:33:39.084121, Sended data
2022-01-02 21:34:39.695374, Sended data
2022-01-02 21:34:40.276498, Sended data
2022-01-02 21:34:40.956647, Sended data
2022-01-02 21:34:41.588781, Sended data
2022-01-02 21:34:42.156903, Sended data
2022-01-02 21:34:42.740031, Sended data
2022-01-02 21:34:43.288147, Sended data
